"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","631","Given I am on the login page","","Sun May 03 04:39:47 UTC 2026","passed","Sun May 03 04:39:48 UTC 2026","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","Given I am on the login page"
"","132","Given I am on the login page","","Sun May 03 04:40:03 UTC 2026","passed","Sun May 03 04:40:03 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Given I am on the login page"
"","306","And I login with test@test.com and testpassword","","Sun May 03 04:40:03 UTC 2026","passed","Sun May 03 04:40:03 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I login with test@test.com and testpassword"
"","157","And I delete ""Change status task"" by clicking on delete icon","","Sun May 03 04:40:08 UTC 2026","passed","Sun May 03 04:40:08 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I delete ""Change status task"" by clicking on delete icon"
"","165","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist","","Sun May 03 04:40:12 UTC 2026","passed","Sun May 03 04:40:12 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist"
"","167","When I change ""Change status task"" status from Completed to Incomplete","","Sun May 03 04:40:08 UTC 2026","passed","Sun May 03 04:40:08 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","When I change ""Change status task"" status from Completed to Incomplete"
"","1698","Then I verify ""Change status task"" on 04/14/2021 as Completed is added in the tasklist","","Sun May 03 04:40:06 UTC 2026","passed","Sun May 03 04:40:08 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Then I verify ""Change status task"" on 04/14/2021 as Completed is added in the tasklist"
"","198","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist","","Sun May 03 04:39:56 UTC 2026","passed","Sun May 03 04:39:56 UTC 2026","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist"
"","0","","","Sun May 03 04:40:00 UTC 2026","passed","Sun May 03 04:40:00 UTC 2026","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page",""
"","0","","","Sun May 03 04:40:03 UTC 2026","passed","Sun May 03 04:40:03 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list",""
"","589","And I login with test@test.com and testpassword","","Sun May 03 04:39:48 UTC 2026","passed","Sun May 03 04:39:48 UTC 2026","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I login with test@test.com and testpassword"
"","2656","When I click on the text area of add todo input","","Sun May 03 04:40:03 UTC 2026","passed","Sun May 03 04:40:06 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","When I click on the text area of add todo input"
"","147","Given I am on the login page","","Sun May 03 04:39:57 UTC 2026","passed","Sun May 03 04:39:57 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Given I am on the login page"
"","690","And I add ""Add a sample task"" on 10/22/2022 as Completed","","Sun May 03 04:39:56 UTC 2026","passed","Sun May 03 04:39:56 UTC 2026","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I add ""Add a sample task"" on 10/22/2022 as Completed"
"","1731","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist","","Sun May 03 04:40:00 UTC 2026","passed","Sun May 03 04:40:02 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist"
"","599","And I add ""Delete a sample task"" on 09/19/2022 as Completed","","Sun May 03 04:40:00 UTC 2026","passed","Sun May 03 04:40:00 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I add ""Delete a sample task"" on 09/19/2022 as Completed"
"","167","When I delete ""Delete a sample task"" by clicking on delete icon","","Sun May 03 04:40:02 UTC 2026","passed","Sun May 03 04:40:02 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","When I delete ""Delete a sample task"" by clicking on delete icon"
"","5158","Then I should see a toast message saying Login Failed !!","","Sun May 03 04:39:48 UTC 2026","passed","Sun May 03 04:39:53 UTC 2026","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Failed !!"
"","165","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist","","Sun May 03 04:40:13 UTC 2026","passed","Sun May 03 04:40:13 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist"
"","2643","When I click on the text area of add todo input","","Sun May 03 04:39:57 UTC 2026","passed","Sun May 03 04:40:00 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","When I click on the text area of add todo input"
"","103","Then I verify ""Delete a sample task"" is deleted from the tasklist","","Sun May 03 04:40:02 UTC 2026","passed","Sun May 03 04:40:02 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Then I verify ""Delete a sample task"" is deleted from the tasklist"
"","254","And I logout from the dashboard","","Sun May 03 04:40:08 UTC 2026","passed","Sun May 03 04:40:09 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I logout from the dashboard"
"","1","","","Sun May 03 04:40:09 UTC 2026","passed","Sun May 03 04:40:09 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list",""
"","307","And I login with test@test.com and testpassword","","Sun May 03 04:40:09 UTC 2026","passed","Sun May 03 04:40:09 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I login with test@test.com and testpassword"
"","136","Given I am on the login page","","Sun May 03 04:40:09 UTC 2026","passed","Sun May 03 04:40:09 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Given I am on the login page"
"","99","Then I verify ""Change status task"" status is changed to Incomplete","","Sun May 03 04:40:08 UTC 2026","passed","Sun May 03 04:40:08 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Then I verify ""Change status task"" status is changed to Incomplete"
"","240","And I logout from the dashboard","","Sun May 03 04:40:02 UTC 2026","passed","Sun May 03 04:40:03 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I logout from the dashboard"
"","7338","When I click on the text area of add todo input","","Sun May 03 04:39:48 UTC 2026","passed","Sun May 03 04:39:56 UTC 2026","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","When I click on the text area of add todo input"
"","502","When I update ""Update a sample task"" to ""Updated the task"" on 05/12/2021 as Incomplete in the tasklist","","Sun May 03 04:40:12 UTC 2026","passed","Sun May 03 04:40:13 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","When I update ""Update a sample task"" to ""Updated the task"" on 05/12/2021 as Incomplete in the tasklist"
"","334","When I login with test@test.com and testpassword","","Sun May 03 04:39:54 UTC 2026","passed","Sun May 03 04:39:54 UTC 2026","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","When I login with test@test.com and testpassword"
"","518","And I add ""Update a sample task"" on 02/12/2021 as Completed","","Sun May 03 04:40:12 UTC 2026","passed","Sun May 03 04:40:12 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I add ""Update a sample task"" on 02/12/2021 as Completed"
"","642","When I login with shanu@test.com and SuperSecretPassword!","","Sun May 03 04:39:48 UTC 2026","passed","Sun May 03 04:39:48 UTC 2026","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","When I login with shanu@test.com and SuperSecretPassword!"
"","105","Given I am on the login page","","Sun May 03 04:39:53 UTC 2026","passed","Sun May 03 04:39:54 UTC 2026","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Given I am on the login page"
"","166","And I delete ""Updated the task"" by clicking on delete icon","","Sun May 03 04:40:13 UTC 2026","passed","Sun May 03 04:40:13 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I delete ""Updated the task"" by clicking on delete icon"
"","0","","","Sun May 03 04:40:14 UTC 2026","passed","Sun May 03 04:40:14 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list",""
"","2436","When I click on the text area of add todo input","","Sun May 03 04:40:09 UTC 2026","passed","Sun May 03 04:40:12 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","When I click on the text area of add todo input"
"","6230","Then I should see a toast message saying Login Successful !!","","Sun May 03 04:39:54 UTC 2026","passed","Sun May 03 04:40:00 UTC 2026","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Successful !!"
"","516","And I add ""Change status task"" on 04/14/2021 as Completed","","Sun May 03 04:40:06 UTC 2026","passed","Sun May 03 04:40:06 UTC 2026","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I add ""Change status task"" on 04/14/2021 as Completed"
"","0","","","Sun May 03 04:39:57 UTC 2026","passed","Sun May 03 04:39:57 UTC 2026","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list",""
"","303","And I login with test@test.com and testpassword","","Sun May 03 04:39:57 UTC 2026","passed","Sun May 03 04:39:57 UTC 2026","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I login with test@test.com and testpassword"
"","301","And I logout from the dashboard","","Sun May 03 04:39:56 UTC 2026","passed","Sun May 03 04:39:57 UTC 2026","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I logout from the dashboard"
"","495","And I logout from the dashboard","","Sun May 03 04:40:13 UTC 2026","passed","Sun May 03 04:40:14 UTC 2026","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I logout from the dashboard"
